Site,Image,Alt,AI Description,Alt score,AI score,Alt regex,AI notes,AI length,URL,,Rating scale,
direwolfdogs.com,,DWP Website - Fremont banner 1.jpg,A black dog with alert ears against a backdrop of snowy mountains and greenery.,0,5,Bad,,79,https://direwolfproject-public.s3.amazonaws.com/images/DWP_Website_-_Fremont_banner_1.04bbb7d3.fill-400x300.jpg,,,
direwolfdogs.com,,DWP Website - Fremont banner 1.jpg,Black dog with pointy ears in front of a mountainous landscape with a lake.,0,5,Bad,,75,https://direwolfproject-public.s3.amazonaws.com/images/DWP_Website_-_Fremont_banner_1.04bbb7d3.fill-400x400.jpg,,,
direwolfdogs.com,,DWP Website - Generic Banner 14.jpg,White wolves walking in a forest during autumn.,0,5,Bad,,47,https://direwolfproject-public.s3.amazonaws.com/images/DWP_Website_-_Generic_Banner_14.2614a001.fill-400x300.jpg,,,
direwolfdogs.com,,DWP Website - Generic Banner 14.jpg,Three white dogs walking in a forest with autumn foliage.,0,5,Bad,,57,https://direwolfproject-public.s3.amazonaws.com/images/DWP_Website_-_Generic_Banner_14.2614a001.fill-400x400.jpg,,,
direwolfdogs.com,,DWP Website - Meet Breeders banner 1.jpg,A smiling man in a black beanie and jacket holds a white puppy against an autumnal forest backdrop.,0,5,Bad,,99,https://direwolfproject-public.s3.amazonaws.com/images/DWP_Website_-_Meet_Breeders_banner.5f4b8072.fill-400x300.jpg,,,
direwolfdogs.com,,DWP Website - Meet Breeders banner 1.jpg,"A man in a black jacket and beanie smiles down at a white puppy he's holding, with autumn trees in the background.",0,5,Bad,,114,https://direwolfproject-public.s3.amazonaws.com/images/DWP_Website_-_Meet_Breeders_banner.5f4b8072.fill-400x400.jpg,,,
mirubber.com,,ForFun,"Stylized letter ""F"" in black and red with the text ""FORFUN"" below.",5,3,,,66,https://mirubber-media.s3.amazonaws.com/media/images/500w_forfunlogo.max-200x200.jpg,,,
mirubber.com,,Jackhammer and The Hole,"Two black and white logos: Left has a crossed hammer and wrench above ""JACKHAMMER,"" right has crossed bones within a shield with ""THE HOLE EST 2008"" above.",5,4,,,155,https://mirubber-media.s3.amazonaws.com/media/images/1080_Jackhammer_Combined_Logo.max-200x200.png,,,
mirubber.com,,Recon,"The image depicts the logo with the stylized text ""neon.""",5,0,,Weird phrasing and wrong text reading,57,https://mirubber-media.s3.amazonaws.com/media/images/sponsor-recon_logo_200.max-200x200.png,,,
mirubber.com,,Pusckatt Pumera ONYX is sashed on stage alongside Matt Latex Armageddon and Neo Fetish.,"A man wearing a black cap and jacket with a pink and white ""@#"" design, smiling against a black background.",3,3,,Not the correct reading,107,https://mirubber-media.s3.amazonaws.com/media/images/AJ_Huff.max-500x500.jpg,,,
www.benefitmall.com,,2023 Q4 homepage image,"Three ecstatic business colleagues celebrating in front of a laptop, with a stylized blue wave graphic overlayed.",0,5,,,113,https://www.benefitmall.com/images/2023_Q4_Homepage_image_no_text.width-1000.png,,,
www.benefitmall.com,,2024 Rewards Program,"Overlooking a coastal golf course and pool area with palm trees, under the text ""POWER OF YOU"" and ""REWARDS"".",3,5,,,109,https://www.benefitmall.com/images/2287_Rewards_Program_Image2.540x420.width-1000.png,,,
www.benefitmall.com,,AmeriHealth NJ,AmeriHealth NEW JERSEY,4,5,,,22,https://www.benefitmall.com/images/amerihealth-nj.2e16d0ba.fill-500x280.png,,,
www.benefitmall.com,,Baylor Scott & White Health Plan,BaylorScott&White Health Plan,5,5,,,29,https://www.benefitmall.com/images/baylor-scott-white-health-plan.2e16d0ba.fill-500x280.png,,,
www.benefitmall.com,,Younger Generations Shying Away from Health Insurance,"Two men in business attire with one in the foreground focused on a device. Inset: ""John Wiesler | BenefitMall Senior Vice President, Sales."" Logo: ""BROKER WORLD"" published by.",2,4,,Order of text could be better,175,https://www.benefitmall.com/images/23Q4_John_Wiesler_Broker_World_Web.2e16d0ba.fill-500x280.png,,,
www.gopomelo.com,,New Cryptomining Protection Program offers $1 million for costly cryptomining attacks,CRYPTOMINING ATTACK PROTECTION Security Command Center,1,5,,,54,https://storage.googleapis.com/gweb-cloudblog-publish/images/Cryptomining_Protection_Program_v1.max-700x700.jpg,,,
www.itreetools.org,,iTreeCircleLogo_homepage.png,"Logo featuring a green tree to the left, gray city skyline to the right, and ""i-Tree"" text below with a ® symbol.",1,3,Bad,,113,https://static.itreetools.org/media/images/iTreeCircleLogo_homepage_szc4.2e16d0ba.fill-200x200-c100.png,,,
www.itreetools.org,,Tools_Canopy_Thumb.png,"Overlay text ""office assessment"" on an image with maps, charts, and text, possibly a screenshot from a presentation or report.",0,4,Bad,,126,https://static.itreetools.org/media/images/Tools_Canopy_Thumb.2e16d0ba.fill-140x120.png,,,
www.itreetools.org,,Tools_Design_Thumb.png,"Screenshot of a web design tool interface with a satellite view of a property, overlaid with green circles indicating tree canopy sizes and placement options.",0,4,Bad,,158,https://static.itreetools.org/media/images/Tools_Design_Thumb.2e16d0ba.fill-140x120.png,,,
www.itreetools.org,,Tools_Eco._new_thumb.png,"Microsoft Excel interface displayed on a monitor, with a smartphone showing the same spreadsheet, overlaid with ""advanced"" text.",0,5,Bad,,128,https://static.itreetools.org/media/images/Tools_Eco._new_thumb.2e16d0ba.fill-140x120.png,,,
www.itreetools.org,,Tools_Landscape_Thumb.png,Screen capture of a map-based web application with color-coded areas and a color legend on the right.,0,5,Bad,,101,https://static.itreetools.org/media/images/Tools_Landscape_Thumb.2e16d0ba.fill-140x120.png,,,
www.itreetools.org,,Tools_MyTree_Thumb.png,"Two smartphones showing an app interface with a map and benefits list, labeled ""easy"" in a red ellipse at the bottom.",0,5,Bad,,117,https://static.itreetools.org/media/images/Tools_MyTree_Thumb.2e16d0ba.fill-140x120.png,,,
www.itreetools.org,,Tools_OurTrees_Thumb.png,"Two smartphones displaying a map and a list labeled ""OurHome benefits."" A red oval at the bottom with the word ""easy"" inside it.",0,5,Bad,,128,https://static.itreetools.org/media/images/Tools_OurTrees_Thumb.2e16d0ba.fill-140x120.png,,,
www.itreetools.org,,Tools_Planting_Thumb.png,"A screenshot of a ""Project Report - Tree Planting Calculator"" with input fields, calculations, and a logo with a house and tree.",0,4,Bad,,128,https://static.itreetools.org/media/images/Tools_Planting_Thumb_Ko8ToxH.2e16d0ba.fill-140x120.png,,,
www.itreetools.org,,Tools_Species_Thumb.png,"Screen capture of a coded chat application with blue and green chat bubbles showing a conversation between ""User"" and ""Cleverbot"" with varied responses.",0,3,Bad,Hallucination,152,https://static.itreetools.org/media/images/Tools_Species_Thumb.2e16d0ba.fill-140x120.png,,,
www.living2022.com,,Arabian Horses Qatar.jpg,"Three horses close together, with the brown one in the foreground wearing a halter, against a cloudy sky.",1,4,Bad,Not three,105,https://living2022.com/media/images/Arabian_Horses_Qatar.width-1656.height-1080.format-jpeg.jpg,,,
www.living2022.com,,Camel in the Qatari Desert.jpg,"Camel adorned with colorful saddle and muzzle standing in a desert, tethered to a pole with a long shadow on the ground.",3,5,Bad,,120,https://living2022.com/media/images/Camel_in_the_Qatari_D.width-1656.height-1080.format-jpeg.jpg,,,
www.living2022.com,,Camel Race in Qatar.jpg,"Camels racing with robotic jockeys on a sandy track, fenced area in the background, and a man seated on the ground.",3,4,Bad,,115,https://living2022.com/media/images/Camel_Race_in_Qatar.width-1656.height-1080.format-jpeg.jpg,,,
www.living2022.com,,Parc des Princes Football stadium of Paris Saint-Germain FC.jpg,"Exterior of the Parc des Princes stadium with the Paris Saint-Germain logo and ""BIENVENUE"" on a banner featuring soccer players.",3,5,Bad,,128,https://living2022.com/media/images/Parc_des_Princes_Foot.width-1656.height-1080.format-jpeg.jpg,,,
www.living2022.com,,Qatar Emir Cup Final match Al Sadd vs Al Rayyan.jpg,"Soccer team celebrating victory with gold confetti, players holding medals and a trophy in a stadium with ""CHAMPIONS"" visible on signage.",3,5,Bad,,137,https://living2022.com/media/images/Qatar_Emir_Cup_Final_.width-1656.height-1080.format-jpeg.jpg,,,
www.living2022.com,,Qatar’s Hamad International Airport Runway.jpg,"Commercial airplane on a tarmac at dusk, with a clear sky and city skyline in the background.",3,5,Bad,,93,https://living2022.com/media/images/Qatars_Hamad_Internat.width-1656.height-1080.format-jpeg.jpg,,,
www.living2022.com,,Traditional arabian cooling tower - view upward.jpg,Upward view of a symmetrical concrete tower with crisscrossing beams forming an X pattern against a clear sky.,3,3,Bad,Not concrete,110,https://living2022.com/media/images/Traditional_arabian_c.width-1656.height-1080.format-jpeg.jpg,,,
www.nzonair.govt.nz,,1687485766462,"Two smiling people wearing jackets, one in a beanie and the other in a fedora, standing outdoors.",0,5,,,97,https://d3r9t6niqlb7tz.cloudfront.net/media/images/1687485766462.2e16d0ba.fill-340x200.jpg,,,
www.nzonair.govt.nz,,Blue logo,Iriringi Te Motu NZ On Air,1,4,,Typo,26,https://d3r9t6niqlb7tz.cloudfront.net/media/images/Blue_logo.2e16d0ba.fill-340x200.jpg,,,
www.nzonair.govt.nz,,NZoA_Tamariki Logo_RGB_BlackText,Irirangi Te Motu NZ On Air Tamariki,1,5,Bad,,35,https://d3r9t6niqlb7tz.cloudfront.net/media/images/NZoA_Tamariki_Logo_RGB_BlackText.2e16d0ba.fill-340x200.jpg,,,
www.nzonair.govt.nz,,The_Gone_showtile.png.6decfe23ec52dcd5b8ce3f5d89615f99,"Two intense-looking individuals in the foreground with a shadowy figure in a landscape within their silhouette; text reads ""THE GONE.""",1,5,Bad,,134,https://d3r9t6niqlb7tz.cloudfront.net/media/images/The_Gone_showtile.png.6decfe23ec52.2e16d0ba.fill-340x200.jpg,,,
www.nzonair.govt.nz,,haka life,Group of people in traditional Māori attire in front of a marae with intricate red carvings in New Zealand.,1,5,,"Not sure how it can tell ""in new zealand"", though this is correct",107,https://d3r9t6niqlb7tz.cloudfront.net/media/images/haka_life_.2e16d0ba.fill-1300x600-c100.jpg,,,
www.path.org,,"An ECD counselling session during a routine well baby visit, in Monapo Rio HF, Monapo District, Mozambique. Photo credit: PATH.","Two women laughing together, one wearing a headscarf, the other in a red t-shirt with a cartoon character, holding a newspaper.",5,5,,,127,https://media.path.org/images/Photo_twTgQSW.2e16d0ba.fill-418x436.jpg,,,
www.path.org,,Digital Health Solutions Data On Computer,A laboratory setup with a person in a lab coat using a laptop next to scientific equipment and a strip with test results.,5,5,,,121,https://media.path.org/images/25618.width-490.jpg,,,
www.path.org,,"Health care workers conduct a supportive supervision session at a vaccination point in Tuan Giao district, Dien Bien province, Vietnam.",Two adults wearing masks assist a baby held by a woman at an outdoor table with medical equipment.,5,5,,,98,https://media.path.org/images/JE_VN_Pix_GSHT_tai_Tuan_Giao_DB_29092022_662.width-490.jpg,,,
www.path.org,,"Helen Kamau, regional lead for PATH’s Access to Medical Devices portfolio, stands with representatives from Build Health International at Africa’s 1st Regional Biomedical Engineering and Health Technologies Conference in Nairobi, Kenya. Photo: BHI",Four individuals wearing conference badges standing in front of a banner for the Association of Medical Engineering of Kenya - AMEK.,5,5,,,132,https://media.path.org/images/Helen_BHI_IFMBE_conference_Sept2023_v2.width-490.jpg,,,
www.path.org,,Living labs,"Three professionals collaborating near a whiteboard with colorful sticky notes, diagrams, and text.",2,5,,,99,https://media.path.org/images/Living_labs.width-490.jpg,,,
www.path.org,,"Margret Chalo, a Data Community Health Worker in Petauke, Zambia, tests a community member for malaria. Photo: PATH/Mukomela Banda","A healthcare worker in gloves administering a test or vaccine to a person's arm, with medical supplies in a box beside them.",5,5,,,124,https://media.path.org/images/Margret_Chalo_at_work.2e16d0ba.fill-490x624.jpg,,,
www.path.org,,Milk bank Vietnam,Three lab technicians in scrubs and hairnets working with test tubes in a laboratory setting.,3,5,,,93,https://media.path.org/images/Milk_Bank_cropped_2.width-490.jpg,,,
www.path.org,,"Patricia Mambo is an entomologist on the Attractive Targeted Sugar Bait (ATSB) project, investigating a new tool targeting outdoor-biting mosquitoes. Photo: PATH",Smiling woman with glasses hanging a canvas print of a house reflected on a calm body of water.,5,3,,,95,https://media.path.org/images/Patricia_Mambo.width-490.jpg,,,
www.path.org,,"Silas Orwa, a resident in Muhoroni, has embraced voluntary medical male circumcision to reduce the risk of HIV acquisition. Photo: PATH/Denise Akun.","A smiling man in a pink shirt with a woman laughing in the background, both appear to be outside in a sunny setting.",5,5,,,116,https://media.path.org/images/IMG_0721.width-490.jpg,,,
www.plecto.com,,Caroline_CS.png,"Smiling woman with a headset, grey hair, wearing a floral dress.",2,5,Bad,,64,https://plecto-website-2020.s3.amazonaws.com/images/Caroline_CS.max-800x600.png,,,
www.plecto.com,,Mathias_sales.png,"A smiling man in a blue suit and white shirt, talking on a mobile phone, with a transparent background.",2,4,Bad,"include in prompt - 'with a transparent background'. also, css background could be different like in this case",103,https://plecto-website-2020.s3.amazonaws.com/images/Mathias_sales.max-800x600.png,,,
www.plecto.com,,Capterra Review.png,"Four and a half stars rating with text ""Read our reviews on Google"" to the right, suggesting customer feedback.",2,3,Bad,,111,https://plecto-website-2020.s3.amazonaws.com/images/Capterra_Review.max-1280x960.png,,,
www.plecto.com,,coaching.png,"Smiling woman with progress bars for 'Booked meetings' (44/44) and 'Won opportunities' (16/20), and a message: ""Great job, Katherine! You're only 4 deals away from reaching your target. Let me know if you need anything from me.""",1,5,Bad,,228,https://plecto-website-2020.s3.amazonaws.com/images/coaching.max-1280x960.png,,,
www.plecto.com,,competition.png,"Three profiles with names, photos, and scores, labeled 1st-3rd, with coin stacks indicating their rankings. Todd O'Reilly is in first place with 39.765 out of 50.000 points.",1,4,Bad,,173,https://plecto-website-2020.s3.amazonaws.com/images/competition.max-1280x960.png,,,
www.plecto.com,,G2 Winter 2024 badges,"Four award badges with text: ""High Performer WINTER 2024,"" ""Easiest Setup WINTER 2024,"" ""Easiest Admin WINTER 2024,"" ""Highest User Adoption WINTER 2024,"" and G2 logo.",2,5,,,166,https://plecto-website-2020.s3.amazonaws.com/images/Group_1775.max-1280x960.png,,,
www.plecto.com,,TV dashboards,Two men in business attire analyzing data on a large screen displaying various digital metrics and graphs.,2,5,,,106,https://plecto-website-2020.s3.amazonaws.com/images/image_56.max-800x600_1.max-1280x960.png,,,
www.plecto.com,,tv+mobile+watch.png,"Dashboard for Aircall Customer Service showing agent status, call metrics, and performance with charts. Logos include Plecto and a smartphone with a notification.",2,3,Bad,,162,https://plecto-website-2020.s3.amazonaws.com/images/tvmobilewatch.max-1280x960.png,,,
www.plecto.com,,G4S logo,"The image is a red and black logo consisting of abstract shapes forming the number ""24"" next to a stylized letter ""k"".",4,2,,,118,https://plecto-website-2020.s3.amazonaws.com/images/g4s.max-240x80.png,,,
www.plecto.com,,Just Eat logo,JUST EAT,4,5,,,8,https://plecto-website-2020.s3.amazonaws.com/images/just-eat.max-240x80.png,,,
www.plecto.com,,Nets logo,nets,4,5,,,4,https://plecto-website-2020.s3.amazonaws.com/images/nets.max-240x80.png,,,
www.plecto.com,,Pipedrive logo,pipedrive,4,5,,,9,https://plecto-website-2020.s3.amazonaws.com/images/pipedrive.max-240x80.png,,,
www.plecto.com,,Verifone (new logo),"The image is completely black, indicating there might be an error or lack of content to display.",4,0,,Processing error,96,https://plecto-website-2020.s3.amazonaws.com/images/Verifone_logotype_black_rgb.max-240x80.png,,,
www.plecto.com,,Verisure logo,Verisure Smart Alarms,4,5,,,21,https://plecto-website-2020.s3.amazonaws.com/images/verisure.max-240x80.png,,,
www.plecto.com,,Johan (1).jpeg,"Smiling bearded man in a suit with a boutonniere, sitting indoors.",2,4,Bad,,66,https://plecto-website-2020.s3.amazonaws.com/images/Johan_1.2e16d0ba.fill-300x300.format-jpeg.jpg,,,
www.plecto.com,,Nikolaj_Boffy.jpg,"Smiling man in a gray checkered suit with a red tie, white shirt, and pocket square.",2,5,Bad,,84,https://plecto-website-2020.s3.amazonaws.com/images/Nikolaj_Boffy.2e16d0ba.fill-300x300.format-jpeg_75jkTK4.jpg,,,
www.plecto.com,,REMA 1000 Logo.png,REMA 1000,4,5,Bad,,9,https://plecto-website-2020.s3.amazonaws.com/images/REMA_1000_Logo.max-50x50.png,,,
www.plecto.com,,Rema1000 Case Study Header.png,"REMA 1000 logo, text ""DISCOUNT WITH AN ATTITUDE: PROVIDING HIGH QUALITY WITH LOW PRICES TO 350+ STORES ACROSS DENMARK,"" three images of produce, products, and storefront.",1,5,Bad,,170,https://plecto-website-2020.s3.amazonaws.com/images/Rema1000_Case_Study_Header.width-360.png,,,
www.plecto.com,,Remo.JPG,A man with short hair in a suit and striped tie smiling against a gray background.,2,5,Bad,,82,https://plecto-website-2020.s3.amazonaws.com/images/Remo.2e16d0ba.fill-300x300.format-jpeg.jpg,,,
www.plecto.com,,The Insurance Surgery Customer Case Header,"A man lifting a child in the air with a woman beside them; logos and text including ""UK's #1 SPECIALIST LIFE INSURANCE BROKERS - BETTER SERVICE PROMISE"".",1,5,,,153,https://plecto-website-2020.s3.amazonaws.com/images/The_Insurance_Surgery_Case_Header.width-360.png,,,
www.plecto.com,,The Insurance Surgery Logo,The image is corrupted and cannot be described accurately.,4,0,,Processing error,58,https://plecto-website-2020.s3.amazonaws.com/images/The_Insurance_Surgery_Logo.max-50x50.png,,,
www.sjc.ox.ac.uk,,20 St Giles,"Three-story cream-colored house with a green door, tall windows, and a black wrought-iron fence under a clear sky.",1,4,,,114,https://www.sjc.ox.ac.uk/images/20_St_Giles.2e16d0ba.fill-576x558.jpg,,,
www.sjc.ox.ac.uk,,2000 Women launch,"Group of smiling people with red, yellow, and black balloons outdoors.",2,4,,,70,https://www.sjc.ox.ac.uk/images/2000_women_2.2e16d0ba.fill-576x558.jpg,,,
www.sjc.ox.ac.uk,,Access Update HT24_Natural History Museum_landscape,Group of schoolchildren in uniform looking intently at something out of frame with curiosity and concentration.,1,4,Bad,,111,https://www.sjc.ox.ac.uk/images/Access_Update_HT24_Natural_Histor.2e16d0ba.fill-1000x598.jpg,,,
www.sjc.ox.ac.uk,,accommodation Kendrew Quad,"Modern building with wooden accents and metal staircase, person descending stairs looking at phone.",2,4,,,99,https://www.sjc.ox.ac.uk/images/accomm.2e16d0ba.fill-576x558.jpg,,,
www.sjc.ox.ac.uk,,alumni carol service,"An elderly lady in a red coat conversing with a robed clergy member inside a church, with other people in the background.",3,4,,,121,https://www.sjc.ox.ac.uk/images/carol_service.2e16d0ba.fill-576x558.jpg,,,
www.sjc.ox.ac.uk,,college garden,"Two individuals are sitting on a bench under a tree, engrossed in reading books, with historic building windows in the background.",3,4,,,130,https://www.sjc.ox.ac.uk/images/garden.f6aebc09.fill-576x558.jpg,,,
www.sjc.ox.ac.uk,,Gaudy 17 March 2017,"Four people with drinks in an elegant room, two women wearing name tags, a man in a black tie, and another woman holding a paper.",1,3,,,129,https://www.sjc.ox.ac.uk/images/IMG_9477.f4045723.fill-576x558.jpg,,,
www.sjc.ox.ac.uk,,James Maynard in Canterbury Quad,Man in a suit with arms crossed standing in front of an illuminated historical building at dusk.,3,5,,,96,https://www.sjc.ox.ac.uk/images/James_Maynard_in_Canterbury_Quad.2e16d0ba.fill-1000x598.jpg,,,
www.sjc.ox.ac.uk,,library,"Stained glass window with two diamond-shaped panes featuring a portrait and a coat of arms, beside an illuminated lamp and a vase.",3,3,,,130,https://www.sjc.ox.ac.uk/images/Library_Gallery.2e16d0ba.fill-576x558.jpg,,,
www.sjc.ox.ac.uk,,Nikolaj Lubecker_Thomas Simonsen,Simplified digital blue and black portrait of a man with visible facial features and hairline.,1,5,Bad,,94,https://www.sjc.ox.ac.uk/images/Nikolaj_Lubecker_Thomas_Simonsen.2e16d0ba.fill-1000x598.jpg,,,
www.sjc.ox.ac.uk,,Professor Dame Sue Black,"Mature woman with curly red hair, black cardigan, and white scarf smiling against a blue background.",4,5,,,100,https://www.sjc.ox.ac.uk/images/Professor_Dame_Sue_Black.6291ad27.fill-1228x558.png,,,
www.sjc.ox.ac.uk,,Robert Hoye_photonics,"3D rendering of a bright, glowing lattice structure symbolizing a crystalline or molecular network with light trails in the background.",1,4,Bad,,135,https://www.sjc.ox.ac.uk/images/Robert_Hoye_photonics.2e16d0ba.fill-1000x598.png,,,
www.sjc.ox.ac.uk,,Student Interview Advice,"Group of enthusiastic students in formal wear jumping in front of a historical building with snow on the ground. Text: ""Interview advice from St John's College students""",2,5,,,169,https://www.sjc.ox.ac.uk/images/InterviewStudents3.width-1000.jpg,,,
www.sjc.ox.ac.uk,,student,A smiling woman holding a book with a daffodil pin on her coat.,2,3,,,63,https://www.sjc.ox.ac.uk/images/offers.234d81d6.fill-576x558.jpg,,,
www.tempurpedicsale.com,,300 free gwp offers page,"Assorted bedding items including pillows, sheets, a neck pillow, and a gray comforter.",0,4,,,86,https://assets-www.tempurpedicsale.com/media/images/300_free_gwp_offers_page.width-300.png,,,
www.tempurpedicsale.com,,adjustable base rich nav image,An adjustable black bed frame in a semi-reclined position against a blue background.,2,4,,,84,https://assets-www.tempurpedicsale.com/media/images/adjustable_base_rich_nav_image.width-300.png,,,
www.tempurpedicsale.com,,adjustable pillow rich nav image,White pillow with blue gel pad insert on a blue and white background.,2,4,,,69,https://assets-www.tempurpedicsale.com/media/images/adjustable_pillow_rich_nav_image.width-300.png,,,
www.tempurpedicsale.com,,An Essential Soft Mattress,White Tempur-Pedic mattress with gray sides and the brand name on the corner.,3,4,,,77,https://assets-www.tempurpedicsale.com/media/images/essential-soft-thumb.width-300.png,,,
www.tempurpedicsale.com,,breeze rich nav image,White and blue Tempur-Pedic mattress with a geometric pattern on a blue gradient background.,0,3,,,92,https://assets-www.tempurpedicsale.com/media/images/breeze_rich_nav_image.width-300.png,,,
www.tempurpedicsale.com,,prosmart base,An adjustable black bed base with remote control and under-bed lighting.,2,4,,,72,https://assets-www.tempurpedicsale.com/media/images/prosmart_base.width-300.png,,,
www.tempurpedicsale.com,,sheets rich nav image,"Stack of neatly folded clothing in various colors, placed on a white surface against a blue background.",1,4,,,103,https://assets-www.tempurpedicsale.com/media/images/sheets_rich_nav_image.width-300.png,,,
www.tempurpedicsale.com,,Tempur-Pedic Finance card,"Black credit card with the text ""TEMPUR-PEDIC 1234 5678 9123 4567 MEMBER SINCE 1986 VALUED CARDMEMBER"".",3,5,,,103,https://assets-www.tempurpedicsale.com/media/images/Tiny-TempurPedic-CreditCard.width-300.png,,,
www.tempurpedicsale.com,,two tempur-cloud pillows,Two white textured pillows against a grey background.,4,5,,,53,https://assets-www.tempurpedicsale.com/media/images/Pillows_ghrtjdr.original.width-300.png,,,
annuityalliance.com,,IRI Research Financial Professionals - AA 2024 March,"Two women and a man in a discussion around a table with papers, a child is present, and colorful drawings are on the wall.",0,4,,,122,https://annuityalliance-wagtail.s3.amazonaws.com/images/IRI_Research_Financial_Professiona.2e16d0ba.fill-325x125.png,,,
annuityalliance.com,,New Report Economic Fears Annuity Alliance,Smiling woman in hard hat and high visibility vest holding a clipboard and scanner in a warehouse.,0,5,,,98,https://annuityalliance-wagtail.s3.amazonaws.com/images/New_Report_Economic_Fears_Annuity_.2e16d0ba.fill-325x125.png,,,
annuityalliance.com,,Testimonial - Nathan,"An elderly man with a mustache and glasses in the foreground, and a smiling woman in the background.",1,4,,,100,https://annuityalliance-wagtail.s3.amazonaws.com/images/nathan.width-800.png,,,
annuityalliance.com,,Testimonial - Patrick,"Middle-aged man with short blond hair, wearing a dark jacket and light shirt, smiling against a beige background. No text present.",1,4,,"""No text present"" - include in the prompt",130,https://annuityalliance-wagtail.s3.amazonaws.com/images/patrick.width-800.png,,,
annuityalliance.com,,Testimonial from Bridget on Annuity Alliance,"Blurred background with shelves, a smiling woman with blonde hair and a dark jacket with a fur collar indoors.",1,3,,,110,https://annuityalliance-wagtail.s3.amazonaws.com/images/bridget.width-800.png,,,
annuityalliance.com,,Website Logo,The image displays the logo of Saxo Bank.,1,0,,,41,https://annuityalliance-wagtail.s3.amazonaws.com/images/AA_Logos_250x65_4-16-19.width-250.png,,,
annuityalliance.com,,Women Taking More Responsibility,"Six smiling women standing side by side indoors, dressed in business casual attire.",2,4,,,83,https://annuityalliance-wagtail.s3.amazonaws.com/images/Women_Taking_More_Responsibility.2e16d0ba.fill-325x125.png,,,
commencement.berkeley.edu,,Cal Band graduates pose while singing the alma mater,"Graduates in caps and gowns celebrating, some wearing honors sashes, outdoors. Visible text: ""CLASS OF 2023"".",4,4,,,109,https://storage.googleapis.com/ucb-commencement/images/DSC_5956_tfAVFRi.max-1000x1000.jpg,,,
commencement.berkeley.edu,,A wide shot of the graduation in Memorial Stadium in 2023,"Graduates in caps and gowns celebrate under a ""CALIFORNIA"" sign.",3,4,,,64,https://storage.googleapis.com/ucb-commencement/images/Lara_Larsen-1035.max-1000x1000.jpg,,,
commencement.berkeley.edu,,Graduates pose on the railing at Memorial Stadium,"Graduates in caps and gowns celebrating, one making a peace sign, with a crowded stadium in the background.",4,4,,,107,https://storage.googleapis.com/ucb-commencement/images/Lara_Larsen-1470.max-1000x1000.jpg,,,
commencement.berkeley.edu,,Graduates pose with family at the end of the May 2023 ceremony,"Four women smiling, two in graduation caps and gowns with ""BERKELEY"" sashes, outdoors with others and greenery in the background.",4,5,,,129,https://storage.googleapis.com/ucb-commencement/images/Lara_Larsen-1730.max-1000x1000.jpg,,,
digitalready-mentors.micromentor.org,,GettyImages-1152849636.jpg,"Man with headphones using laptop in a bright kitchen. He is leaning forward, seemingly engaged in work, with papers and a notebook nearby.",0,5,Bad,,138,https://d2win24dv6pngl.cloudfront.net/media/images/GettyImages-1152849636.2e16d0ba.fill-1600x900.jpg,,,
digitalready-mentors.micromentor.org,,GettyImages-1254459981_Warmer.jpg,"Woman with headphones focused on working with a laptop, a cup of coffee beside her.",0,4,Bad,,83,https://d2win24dv6pngl.cloudfront.net/media/images/GettyImages-1254459981_flipped.2e16d0ba.fill-300x300.jpg,,,
digitalready-mentors.micromentor.org,,GettyImages-529793801.jpg,"A focused man with a beard working on a laptop in a bright modern office, coffee cup beside him.",0,5,Bad,,96,https://d2win24dv6pngl.cloudfront.net/media/images/GettyImages-529793801-flipped.bbebbee9.fill-1600x900.jpg,,,
digitalready-mentors.micromentor.org,,VerizonForwardSMB_Compilation_1.jpg,"Two separate images combined; left shows a woman on a phone, right depicts a man at a desk with a laptop.",0,4,Bad,,105,https://d2win24dv6pngl.cloudfront.net/media/images/VerizonForwardSMB_Compilation_1.b4d5e4a9.fill-300x300.jpg,,,
esmeefairbairn.org.uk,,Advocacy Academy,"A group of diverse young adults engaged in a lively discussion around a table, some gesturing as they communicate.",2,4,,,114,https://esmeefairbairn.ams3.cdn.digitaloceanspaces.com/media/images/Advocacy-Academy.2e16d0ba.fill-1107x750.png,,,
esmeefairbairn.org.uk,,Anti-Racist Cumbria.jpg,"Person standing with hands on hips looking at a scenic lake and mountains, wearing a hoodie with text: ""MAKING CAMBRIDGE THE INTERNATIONAL CITY OF SANCTUARY"".",1,4,Bad,,158,https://esmeefairbairn.ams3.cdn.digitaloceanspaces.com/media/images/664F7A44-7011-4FE8-8277-8A37E4E755.de3ddae1.fill-415x250.jpg,,,
esmeefairbairn.org.uk,,"Columba 1400, Visual Explorer Exercise","People standing among scattered images on the floor, examining them, with posters on the walls in a wooden-floored room.",3,4,,,120,https://esmeefairbairn.ams3.cdn.digitaloceanspaces.com/media/images/Columba_1400-Visual_Explorer_Exerc.2e16d0ba.fill-415x300.jpg,,,
esmeefairbairn.org.uk,,Ecological Land Cooperative,"Various fresh vegetables including leafy greens, spring onions, and herbs displayed in baskets at a market.",1,5,,,107,https://esmeefairbairn.ams3.cdn.digitaloceanspaces.com/media/images/Ecological_Land_Cooperative_3-wide.2e16d0ba.fill-415x250.jpg,,,
